title,snippet,filename,article
     Bedrijfsauto's zwaar      Carrosserie     Klimaatregelingssysteem,"  1.   Bedrijfsauto’s in gebruik genomen na 30 juni 2018
en met een massa in rijklare toestand van niet meer dan 1.280 kg mogen niet
zijn voorzien van een klimaatregelingssysteem dat gefluoreerde broeikasgassen
bevat met een aardopwarmingsvermogen van meer dan 150.    Wijze van keuren       Wijze van keuren      Print  Visuele controle. Indien uit het in de motorruimte
aanwezige opschrift blijkt dat de gassen (R)12, (R)32, (R)125 of (R)134a zijn toegepast,
wordt niet voldaan aan deze eis. Aan deze eis wordt niet getoetst tijdens de
periodieke keuring ten behoeve van de afgifte van een keuringsrapport.       ",bedrijfsautos-zwaar-carrosserie-klimaatregelingssysteem.txt,Artikel 5.3.49a
     Bedrijfsauto's zwaar      Carrosserie     Stootbalk,"  1.    Bedrijfsauto’s die na 30 juni 1967 in gebruik zijn genomen, moeten aan de achterzijde zijn voorzien van een deugdelijke stootbalk, indien de afstand van de onderzijde van het voertuig tot het wegdek, gemeten over de volle breedte onder de achterzijde van het onderstel of onder de hoofddelen van het koetswerk op een afstand van meer dan 1,00 m achter het hart van de achterste as, meer bedraagt dan 0,70 m dan wel meer bedraagt dan 0,55 m indien het voertuig na 31 december 1997 in gebruik is genomen.     Wijze van keuren    Toelichting       Wijze van keuren      Print  Visuele controle.     Toelichting      Print   Plaatsing stootbalk  Een wisselbare laadbak wordt niet gezien als lading. Dit
betekent dat bij de beoordeling van de plaatsing van de stootbalk, rekening
moet worden gehouden met een eventueel op het voertuig aanwezige wisselbare
laadbak of container. Let op!

Een afneembare bovenbouw of container is geen deel van de
permanente opbouw en is dus geen deel
van de wielafscherming.  Aanwezigheid stootbalk  Bij een bedrijfsauto en aanhangwagen die zijn ingericht voor het
vervoer van voertuigen en permanent zijn verbonden door middel van een
koppeling die u alleen met gereedschap los kunt maken, hoeft de bedrijfsauto
niet te zijn voorzien van een stootbalk. Enkele voorbeelden van zo’n koppeling
zijn hieronder afgebeeld.       Foto: Voorbeeld koppeling       ",bedrijfsautos-zwaar-carrosserie-stootbalk.txt,Artikel 5.3.49
     Bedrijfsauto's zwaar      Carrosserie     Stootbalk,"  2.   Het eerste lid is niet van toepassing op vuilniswagens met een laadmogelijkheid aan de achterzijde, opleggertrekkers en asfaltwagens.    Wijze van keuren       Wijze van keuren      Print         ",bedrijfsautos-zwaar-carrosserie-stootbalk.txt,Artikel 5.3.49
     Bedrijfsauto's zwaar      Carrosserie     Stootbalk,"  3.    De afstand van de onderzijde van de stootbalk tot het wegdek mag voor bedrijfsauto’s, in gebruik genomen na 30 juni 1967 doch vóór 1 januari 1998, niet meer bedragen dan 0,70 m en voor bedrijfsauto’s, in gebruik genomen na 31 december 1997, niet meer bedragen dan 0,55 m.     Wijze van keuren    Toelichting       Wijze van keuren      Print  Visuele controle, in geval van twijfel wordt gemeten.     Toelichting      Print   Plaatsing stootbalk  Een wisselbare laadbak wordt niet gezien als lading. Dit
betekent dat bij de beoordeling van de plaatsing van de stootbalk, rekening
moet worden gehouden met een eventueel op het voertuig aanwezige wisselbare
laadbak of container. Let op!

Een afneembare bovenbouw of container is geen deel van de
permanente opbouw en is dus geen deel
van de wielafscherming.        ",bedrijfsautos-zwaar-carrosserie-stootbalk.txt,Artikel 5.3.49
     Bedrijfsauto's zwaar      Carrosserie     Stootbalk,"  4.   Indien de bedrijfsauto in gebruik is genomen na 31 december 2004, mag de stootbalk niet meer dan 0,45 m voor het achterste punt van het voertuig zijn gelegen. Hierbij worden voertuigdelen boven 2,00 m gemeten vanaf het wegdek buiten beschouwing gelaten. In afwijking van de eerste volzin, mag de stootbalk bij bedrijfsauto’s ingericht als betonmolen, betonmixer of betonpomp niet meer dan 0,60 m voor het achterste punt van het voertuig zijn gelegen.    Wijze van keuren    Toelichting       Wijze van keuren      Print  Visuele controle, in geval van twijfel wordt gemeten.     Toelichting      Print   Plaatsing stootbalk  Een wisselbare laadbak wordt niet gezien als lading. Dit
betekent dat bij de beoordeling van de plaatsing van de stootbalk, rekening
moet worden gehouden met een eventueel op het voertuig aanwezige wisselbare
laadbak of container. Let op!

Een afneembare bovenbouw of container is geen deel van de
permanente opbouw en is dus geen deel
van de wielafscherming.        ",bedrijfsautos-zwaar-carrosserie-stootbalk.txt,Artikel 5.3.49
     Bedrijfsauto's zwaar      Carrosserie     Stootbalk,"  5.    Indien de bedrijfsauto in gebruik is genomen na 30  juni 1967 doch voor 1 januari 2005, mag de stootbalk niet meer dan 0,60 m voor het achterste punt van het voertuig zijn gelegen. Hierbij worden voertuigdelen boven 2,00 m gemeten vanaf het wegdek buiten beschouwing gelaten.     Wijze van keuren    Toelichting       Wijze van keuren      Print  Visuele controle, in geval van twijfel wordt gemeten.     Toelichting      Print   Plaatsing stootbalk  Een wisselbare laadbak wordt niet gezien als lading. Dit
betekent dat bij de beoordeling van de plaatsing van de stootbalk, rekening
moet worden gehouden met een eventueel op het voertuig aanwezige wisselbare
laadbak of container. Let op!

Een afneembare bovenbouw of container is geen deel van de
permanente opbouw en is dus geen deel
van de wielafscherming.        ",bedrijfsautos-zwaar-carrosserie-stootbalk.txt,Artikel 5.3.49
     Bedrijfsauto's zwaar      Carrosserie     Stootbalk,"  6.    De stootbalk mag niet breder zijn noch aan weerszijden meer dan 0,10 m smaller zijn dan: het voertuig op de plaats waar de stootbalk is aangebracht, dan wel de breedte van de breedste achteras, met inbegrip van de wielen waarbij de bolling van de banden boven het wegdek buiten beschouwing wordt gelaten. In afwijking van het bepaalde in de aanhef, mag de stootbalk bij bedrijfsauto’s bestemd voor het vervoer van wisselbakken aan weerszijden niet meer dan 0,20 m smaller zijn.     Wijze van keuren    Toelichting       Wijze van keuren      Print  Visuele controle     Toelichting      Print   Bepalen breedte stootbalk Bij het bepalen van de breedte van de stootbalk tijdens de
APK moet u zo 'gunstig' mogelijk meten, waarbij de kleinste maat (gemeten over
bovenbouw of wielen)maatgevend is.       ",bedrijfsautos-zwaar-carrosserie-stootbalk.txt,Artikel 5.3.49
     Bedrijfsauto's zwaar      Carrosserie     Stootbalk,"  7.   De stootbalk en de bevestiging daarvan mogen niet zodanig zijn vervormd of breuken of scheuren vertonen, dan wel door corrosie zijn aangetast, dat hierdoor functieverlies optreedt.    Wijze van keuren       Wijze van keuren      Print  Visuele controle       ",bedrijfsautos-zwaar-carrosserie-stootbalk.txt,Artikel 5.3.49
     Bedrijfsauto's zwaar      Carrosserie     Stootbalk,  8.    De uiteinden van de stootbalk mogen niet naar achteren zijn omgebogen.     Wijze van keuren       Wijze van keuren      Print  Visuele controle       ,bedrijfsautos-zwaar-carrosserie-stootbalk.txt,Artikel 5.3.49
     Bedrijfsauto's zwaar      Carrosserie     Stootbalk,"  9.   Bedrijfsauto's met een toegestane maximummassa van meer dan 7.500 kg, in gebruik genomen na 9 augustus 2004, moeten zijn voorzien van een deugdelijke beschermingsinrichting aan de voorzijde tegen klemrijden. Deze verplichting geldt niet voor bedrijfsauto's die een aantekening in het kentekenregister 'G' hebben.    Wijze van keuren       Wijze van keuren      Print  Visuele controle In geval van twijfel wordt gemeten.       ",bedrijfsautos-zwaar-carrosserie-stootbalk.txt,Artikel 5.3.49
